Country,Last_Update,Confirmed,Deaths,Recovered,Incident_Rate,Active,Case_Fatality_Ratio,Continent
Grenada,2021-03-19 5:26:09,154,1,151,136.8657738,2,0.6493506494,Americas
Guatemala,2021-03-19 5:26:09,185832,6639,170059,1037.265524,9134,3.572581687,Americas
Guinea,2021-03-19 5:26:09,18285,106,15801,139.2316272,2378,0.5797101449,Africa
Guinea-Bissau,2021-03-19 5:26:09,3518,54,2806,178.7603443,658,1.534963047,Africa
Guyana,2021-03-19 5:26:09,9442,212,8430,1200.418532,800,2.245287015,Americas
Haiti,2021-03-19 5:26:09,12686,251,10443,111.2559815,1992,1.978559041,Americas
Holy See,2021-03-19 5:26:09,27,0,15,3337.453646,12,0,Europe
Honduras,2021-03-19 5:26:09,180796,4402,69008,1825.372594,107386,2.43478838,Americas
Hungary,2021-03-19 5:26:09,539080,17628,360895,5580.336116,160557,3.270015582,Europe
Iceland,2021-03-19 5:26:09,6091,29,6030,1784.908425,32,0.4761122968,Europe
India,2021-03-19 5:26:09,11514331,159370,11083679,1181.346442,271282,1.384101256,Asia
Indonesia,2021-03-19 5:26:09,1443853,39142,1272958,527.8714119,131753,2.710940795,Asia
Iran,2021-03-19 5:26:09,1778645,61581,1521377,2117.612176,195687,3.462242325,Asia
Iraq,2021-03-19 5:26:09,779458,13896,702667,1937.865478,62895,1.782777263,Asia
Ireland,2021-03-19 5:26:09,228796,4566,23364,4633.565259,200866,1.99566426,Europe
Israel,2021-03-19 5:26:09,825562,6069,798096,9537.959557,21397,0.7351355804,Asia
Italy,2021-03-19 5:26:09,3306711,103855,2655346,5445.19357,547510,3.140734101,Europe
Jamaica,2021-03-19 5:26:09,33366,511,15615,1126.78777,17240,1.531499131,Americas
Japan,2021-03-19 5:26:09,449819,8748,427501,209.2498303,13570,1.944782235,Asia
Jordan,2021-03-19 5:26:09,514107,5627,416971,5038.713572,91509,1.094519234,Asia
Kazakhstan,2021-03-19 5:26:09,279220,3199,255433,1487.055212,20588,1.145691569,Asia
Kenya,2021-03-19 5:26:09,117535,1954,89203,218.5831475,26378,1.662483516,Africa
"Korea, South",2021-03-19 5:26:09,97757,1690,89523,190.6739961,6544,1.728776456,Asia
Kosovo,2021-03-19 5:26:09,78340,1723,65596,4327.301772,11021,2.199387286,Europe
